id,url
1,https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_6_1_1.jpg?ts=1707751045954
2,https://static.zara.net/photos///2024/V/0/3/p/5536/532/658/2/w/2048/5536532658_6_1_1.jpg?ts=1710428896326
3,https://static.zara.net/photos///2024/V/0/1/p/2893/010/818/17/w/2048/2893010818_1_1_1.jpg?ts=1713965800221
4,https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_6_1_1.jpg?ts=1710489196217
5,https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_6_1_1.jpg?ts=1706778286656
6,https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_6_1_1.jpg?ts=1708614924346
7,https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_6_1_1.jpg?ts=1697035257419
8,https://static.zara.net/photos///2024/V/4/1/p/7128/091/250/2/w/2048/7128091250_6_1_1.jpg?ts=1707990094929
9,https://static.zara.net/photos///2024/V/0/1/p/5536/006/712/2/w/2048/5536006712_1_1_1.jpg?ts=1706274640339
10,https://static.zara.net/photos///2024/V/4/1/p/2617/529/500/2/w/2048/2617529500_6_1_1.jpg?ts=1701101192733
11,https://static.zara.net/photos///2024/V/0/3/p/3153/002/630/2/w/2048/3153002630_6_1_1.jpg?ts=1712070309964
12,https://static.zara.net/photos///2024/V/0/1/p/2910/009/051/17/w/2048/2910009051_1_1_1.jpg?ts=1710424540258
13,https://static.zara.net/photos///2023/I/1/3/p/1120/230/002/2/w/2048/1120230002_6_1_1.jpg?ts=1689164071469
14,https://static.zara.net/photos///2024/V/1/3/p/6687/330/002/2/w/2048/6687330002_6_1_1.jpg?ts=1713279944500
15,https://static.zara.net/photos///2024/V/4/1/p/7145/091/712/2/w/2048/7145091712_6_1_1.jpg?ts=1708594216876
16,https://static.zara.net/photos///2023/I/0/3/p/9959/552/721/2/w/2048/9959552721_6_1_1.jpg?ts=1698929412065
17,https://static.zara.net/photos///2024/V/0/3/p/1377/465/628/2/w/2048/1377465628_6_1_1.jpg?ts=1710348720219
18,https://static.zara.net/photos///2023/V/0/3/p/0485/633/300/2/w/2048/0485633300_6_1_1.jpg?ts=1681309241076
19,https://static.zara.net/photos///2024/V/0/1/p/7792/293/500/17/w/2048/7792293500_1_1_1.jpg?ts=1713882637103
20,https://static.zara.net/photos///2024/V/0/1/p/2287/595/800/3/w/2048/2287595800_1_1_1.jpg?ts=1711529251643
21,https://static.zara.net/photos///2024/V/4/1/p/6254/473/820/2/w/2048/6254473820_6_1_1.jpg?ts=1699289278899
22,https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/202/w/2400/1501401250_6_1_1.jpg?ts=1701183997273
23,https://static.zara.net/photos///2024/V/0/1/p/4661/315/600/2/w/2048/4661315600_1_1_1.jpg?ts=1711034041649
24,https://static.zara.net/photos///2024/V/0/2/p/0679/416/251/2/w/2048/0679416251_6_1_1.jpg?ts=1714473878015
25,https://static.zara.net/photos///2024/V/0/3/p/2582/506/712/2/w/2048/2582506712_6_1_1.jpg?ts=1700479517929
26,https://static.zara.net/photos///2024/V/0/1/p/1736/013/700/18/w/2048/1736013700_2_1_1.jpg?ts=1709831847782
27,https://static.zara.net/photos///2024/V/0/1/p/4786/055/802/2/w/2048/4786055802_1_1_1.jpg?ts=1712923262030
28,https://static.zara.net/photos///2024/V/0/2/p/4285/498/401/2/w/2048/4285498401_6_1_1.jpg?ts=1706805340381
29,https://static.zara.net/photos///2024/V/4/1/p/2361/004/804/2/w/2048/2361004804_6_1_1.jpg?ts=1705048650766
30,https://static.zara.net/photos///2024/V/0/3/p/1716/327/621/2/w/2048/1716327621_6_1_1.jpg?ts=1711555021631
31,https://static.zara.net/photos///2024/V/0/1/p/4661/005/800/2/w/2048/4661005800_1_1_1.jpg?ts=1706628794635
32,https://static.zara.net/photos///2024/V/0/3/p/5624/500/600/2/w/2048/5624500600_6_1_1.jpg?ts=1699622510225
33,https://static.zara.net/photos///2024/V/0/3/p/4805/693/707/2/w/2048/4805693707_6_1_1.jpg?ts=1713426141506
34,https://static.zara.net/photos///2024/V/0/2/p/2241/405/500/2/w/2048/2241405500_6_1_1.jpg?ts=1712241669861
35,https://static.zara.net/photos///2023/I/0/3/p/0039/678/800/2/w/2048/0039678800_6_1_1.jpg?ts=1692625465132
36,https://static.zara.net/photos///2024/V/1/1/p/2211/310/800/2/w/2048/2211310800_6_1_1.jpg?ts=1705306372176
37,https://static.zara.net/photos///2024/W/0/2/p/7545/534/021/2/w/2048/7545534021_6_1_1.jpg?ts=1704963620004
38,https://static.zara.net/photos///2024/V/0/2/p/1942/402/505/2/w/2048/1942402505_6_1_1.jpg?ts=1701430657535
39,https://static.zara.net/photos///2024/V/0/1/p/3666/063/630/2/w/2048/3666063630_1_1_1.jpg?ts=1706880694259
40,https://static.zara.net/photos///2024/V/0/1/p/3186/227/300/2/w/3600/3186227300_1_1_1.jpg?ts=1713283183283
41,https://static.zara.net/photos///2024/V/0/1/p/6045/022/800/18/w/2048/6045022800_1_1_1.jpg?ts=1713958471407
42,https://static.zara.net/photos///2024/W/1/2/p/2008/220/800/2/w/2048/2008220800_6_1_1.jpg?ts=1709805868861
43,https://static.zara.net/photos///2024/V/4/1/p/2185/004/800/2/w/2048/2185004800_6_1_1.jpg?ts=1699482505829
44,https://static.zara.net/photos///2024/W/0/1/p/7648/172/800/2/w/2048/7648172800_6_1_1.jpg?ts=1709635992428
45,https://static.zara.net/photos///2024/V/0/1/p/1014/308/800/2/w/2048/1014308800_1_1_1.jpg?ts=1709652756720
46,https://static.zara.net/photos///2024/W/0/1/p/2288/886/806/502/w/2048/2288886806_1_1_1.jpg?ts=1714151957508
47,https://static.zara.net/photos///2024/V/0/1/p/2753/122/807/2/w/2048/2753122807_1_1_1.jpg?ts=1700645686962
48,https://static.zara.net/photos///2024/V/0/3/p/1473/573/629/2/w/2048/1473573629_6_1_1.jpg?ts=1700046031865
49,https://static.zara.net/photos///2023/V/0/3/p/5507/600/704/2/w/2048/5507600704_6_1_1.jpg?ts=1671119880322
50,https://static.zara.net/photos///2024/V/0/2/p/0840/402/427/2/w/2048/0840402427_6_1_1.jpg?ts=1706119010478
51,https://static.zara.net/photos///2023/I/0/3/p/2496/689/620/2/w/2048/2496689620_6_1_1.jpg?ts=1689754945696
52,https://static.zara.net/photos///2024/V/0/2/p/1063/406/251/2/w/2048/1063406251_6_1_1.jpg?ts=1708074139445
